idx,spf,ppd,upc,uppcc,apt,deg
0,0.73,1.74,0.61,0.78,0.23,135.88
1,0.55,1.48,0.55,0.7,0.14,96.0
2,0.0,1.0,0.54,0.64,0.24,4.0
3,0.0,1.0,0.78,0.8,0.58,81.0
4,0.26,1.04,0.62,0.73,0.15,40.0
6,0.0,1.0,0.72,0.73,0.58,47.0
7,0.7,1.75,0.73,0.9,0.33,104.4
9,0.08,1.03,0.73,0.78,0.53,150.5
10,0.13,1.05,0.58,0.69,0.2,53.7
13,0.77,1.67,0.77,0.93,0.27,90.67
14,0.48,1.09,0.76,0.8,0.41,15.71
15,0.8,2.13,0.61,0.84,0.24,38.91
16,0.63,1.55,0.67,0.83,0.34,102.5
18,0.0,1.0,0.5,0.5,0.5,1.0
21,0.03,1.02,0.76,0.78,0.58,158.5
22,0.0,1.0,0.61,0.72,0.5,3.0
23,0.0,1.0,0.57,0.57,0.43,1.0
24,0.44,1.32,0.66,0.74,0.34,203.75
25,0.8,1.94,0.59,0.77,0.2,160.29
30,0.67,1.79,0.65,0.83,0.28,63.29
31,0.0,1.0,0.58,0.73,0.19,5.0
32,0.69,1.44,0.78,0.88,0.3,97.0
33,0.75,1.96,0.69,0.91,0.33,121.64
36,0.84,1.59,0.58,0.78,0.2,26.6
38,0.0,1.0,0.48,0.61,0.21,30.0
39,0.71,1.47,0.59,0.74,0.18,65.6
43,0.0,1.0,0.78,0.8,0.61,226.0
44,0.74,1.77,0.65,0.84,0.27,80.56
46,0.65,1.82,0.52,0.68,0.16,63.5
47,0.8,2.15,0.59,0.83,0.22,102.67
48,0.0,1.0,0.57,0.64,0.18,27.0
49,0.11,1.06,0.58,0.71,0.18,37.4
51,0.85,2.43,0.56,0.84,0.2,68.69
53,0.35,1.2,0.67,0.74,0.4,242.5
54,0.74,1.98,0.55,0.77,0.2,106.68
55,0.22,1.14,0.82,0.88,0.65,93.5
56,0.12,1.04,0.62,0.73,0.19,112.0
58,0.59,1.46,0.7,0.82,0.34,61.0
59,0.0,1.0,0.8,0.8,0.1,1.0
60,0.64,1.22,0.72,0.79,0.29,63.0
61,0.54,1.43,0.59,0.7,0.26,247.2
63,0.17,1.04,0.61,0.75,0.15,91.86
64,0.36,1.23,0.77,0.84,0.56,63.0
66,0.0,1.0,0.66,0.91,0.09,3.0
67,0.03,1.02,0.71,0.76,0.45,212.0
68,0.16,1.07,0.63,0.72,0.29,194.0
69,0.01,1.0,0.79,0.81,0.65,227.0
70,0.0,1.0,0.74,0.77,0.48,45.0
72,0.58,1.5,0.64,0.77,0.26,121.14
74,0.26,1.08,0.73,0.77,0.35,31.0
75,0.5,1.01,0.73,0.77,0.47,66.5
78,0.79,1.37,0.73,0.84,0.27,69.2
